Date,Time,X_Drift,Y_Drift,Z_Drift
20260625,13:16:39,-0.0072,0.0122,-0.0068
20260625,13:17:31,-0.0069,0.012,-0.0067
20260625,13:18:24,-0.0068,0.0119,-0.0066
20260625,13:19:17,-0.0069,0.0124,-0.0063
20260625,13:20:10,-0.0069,0.0121,-0.0063
20260625,13:21:04,-0.0066,0.0121,-0.0059
20260625,13:21:58,-0.0066,0.0124,-0.0061
20260625,13:22:53,-0.0066,0.0125,-0.0059
20260625,13:23:48,-0.0062,0.0125,-0.0058
20260625,13:24:39,-0.0065,0.0126,-0.0063
20260625,13:25:32,-0.0066,0.0128,-0.0062
20260625,13:26:24,-0.0064,0.0128,-0.0061
20260625,13:27:16,-0.0066,0.0128,-0.0062
20260625,13:28:08,-0.0063,0.0124,-0.006
20260625,13:29:01,-0.0062,0.0126,-0.0059
20260625,13:29:54,-0.0064,0.0126,-0.006
20260625,13:30:47,-0.0063,0.0124,-0.0058
20260625,13:31:41,-0.0062,0.013,-0.006
20260625,13:32:35,-0.0066,0.0133,-0.0061
20260625,13:33:29,-0.0067,0.0131,-0.0057
20260625,13:34:25,-0.006,0.0133,-0.0059
20260625,13:35:16,-0.0067,0.0134,-0.006
20260625,13:36:08,-0.0066,0.0135,-0.0061
20260625,13:37:01,-0.0063,0.0133,-0.0064
20260625,13:37:53,-0.0068,0.0137,-0.0063
20260625,13:38:45,-0.0068,0.0129,-0.006
20260625,13:39:38,-0.0064,0.0129,-0.0057
20260625,13:40:31,-0.0065,0.0133,-0.0056
20260625,13:41:24,-0.0065,0.0136,-0.0057
20260625,13:42:17,-0.0059,0.0137,-0.0057
20260625,13:43:12,-0.0066,0.0134,-0.0058
20260625,13:44:06,-0.0065,0.0139,-0.0056
20260625,13:45:01,-0.0062,0.0132,-0.0055
20260625,13:45:53,-0.0059,0.0134,-0.0056
20260625,13:46:45,-0.0064,0.014,-0.0059
20260625,13:47:37,-0.0065,0.014,-0.0059
20260625,13:48:29,-0.0066,0.0139,-0.0058
20260625,13:49:22,-0.0063,0.0137,-0.0057
20260625,13:50:14,-0.0061,0.0141,-0.0059
20260625,13:51:07,-0.0063,0.014,-0.0059
20260625,13:52:01,-0.0061,0.0141,-0.0059
20260625,13:52:54,-0.0062,0.0142,-0.0058
20260625,13:53:48,-0.0064,0.0144,-0.0059
20260625,13:54:43,-0.0065,0.0142,-0.0058
20260625,13:55:38,-0.0063,0.0139,-0.0054
20260625,13:56:29,-0.0062,0.0137,-0.0053
20260625,13:57:21,-0.0062,0.0141,-0.0057
20260625,13:58:13,-0.0065,0.0144,-0.006
20260625,13:59:06,-0.0064,0.0142,-0.0057
20260625,13:59:58,-0.0063,0.0143,-0.0056
20260625,14:00:50,-0.0063,0.0143,-0.0059
20260625,14:01:43,-0.0066,0.0147,-0.0057
20260625,14:02:37,-0.0067,0.0151,-0.0056
20260625,14:03:30,-0.0063,0.0148,-0.0057
20260625,14:04:24,-0.0064,0.0146,-0.0055
20260625,14:05:19,-0.0061,0.015,-0.0055
20260625,14:06:14,-0.0067,0.015,-0.0056
20260625,14:07:05,-0.0063,0.0151,-0.0054
20260625,14:08:37,-0.0064,0.0151,-0.0052
20260625,14:11:48,-0.0063,0.0145,-0.0054
20260625,14:14:35,-0.0066,0.0139,-0.0048
20260625,14:17:22,-0.0068,0.0144,-0.004
20260625,14:20:10,-0.0065,0.0141,-0.0036
20260625,14:22:57,-0.0067,0.014,-0.0033
20260625,14:25:46,-0.0071,0.0142,-0.0028
20260625,14:28:34,-0.0069,0.014,-0.0025
20260625,14:31:23,-0.0074,0.0144,-0.0018
20260625,14:34:13,-0.0076,0.0145,-0.0006
20260625,14:37:03,-0.0078,0.0147,0.0007
20260625,14:39:53,-0.008,0.0154,0.0023
20260625,14:42:44,-0.0082,0.0156,0.0036
20260625,14:45:35,-0.0088,0.0166,0.0049
20260625,14:48:26,-0.0084,0.0166,0.006
20260625,14:51:17,-0.0083,0.0178,0.0071
20260625,14:54:08,-0.0084,0.0179,0.008
20260625,14:56:59,-0.0087,0.0187,0.0095
20260625,14:59:49,-0.0085,0.019,0.0103
20260625,15:02:40,-0.0092,0.0197,0.0113
20260625,15:05:31,-0.0085,0.0197,0.0121
20260625,15:08:22,-0.0091,0.0208,0.0128
20260625,15:11:13,-0.0091,0.0206,0.0135
20260625,15:14:03,-0.0084,0.0211,0.0143
20260625,15:16:54,-0.0091,0.0216,0.015
20260625,15:19:45,-0.0088,0.0227,0.0157
20260625,15:22:36,-0.0091,0.0225,0.0166
20260625,15:25:27,-0.0091,0.0236,0.0169
20260625,15:28:18,-0.0095,0.024,0.0175
20260625,15:31:08,-0.0088,0.0243,0.0181
20260625,15:33:59,-0.0093,0.0244,0.0185
20260625,15:36:50,-0.0093,0.025,0.0192
20260625,15:39:41,-0.0095,0.0256,0.0194
20260625,15:42:32,-0.0093,0.0263,0.0197
20260625,15:45:22,-0.009,0.027,0.0202
20260625,15:48:13,-0.009,0.0271,0.0206
20260625,15:51:04,-0.0092,0.0281,0.0212
20260625,15:53:54,-0.009,0.0286,0.0215
20260625,15:56:45,-0.009,0.0289,0.0219
20260625,15:59:36,-0.0093,0.0298,0.0222
20260625,16:02:27,-0.0094,0.0301,0.0228
20260625,16:05:17,-0.009,0.0305,0.0232
20260625,16:08:08,-0.0091,0.0312,0.0235
20260625,16:10:59,-0.0096,0.0318,0.0239
20260625,16:13:50,-0.0096,0.0323,0.0238
20260625,16:16:41,-0.0096,0.0332,0.0243
20260625,16:19:32,-0.0088,0.0336,0.0249
20260625,16:22:23,-0.0092,0.034,0.0249
20260625,16:25:13,-0.0092,0.034,0.0253
20260625,16:28:04,-0.0094,0.0346,0.0259
20260625,16:30:55,-0.009,0.0347,0.0257
20260625,16:33:45,-0.0094,0.0355,0.0258
20260625,16:36:36,-0.0093,0.0357,0.0258
20260625,16:39:27,-0.0088,0.036,0.026
20260625,16:42:17,-0.009,0.0364,0.0263
20260625,16:45:08,-0.0088,0.0365,0.0266
20260625,16:47:58,-0.0087,0.0376,0.0265
20260625,16:50:49,-0.0084,0.0376,0.0265
20260625,16:53:40,-0.0083,0.0381,0.0272
20260625,16:56:30,-0.0082,0.0386,0.0272
20260625,16:59:21,-0.0087,0.0388,0.0275
20260625,17:02:11,-0.0081,0.0387,0.0276
20260625,17:05:02,-0.0081,0.0391,0.0276
